"filename", "language", "C#", "Markdown", "XML", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\chris\source\repos\Cell\Cell\App.xaml", "XML", 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\chris\source\repos\Cell\Cell\App.xaml.cs", "C#", 7, 0, 0, 0, 0, 3, 2, 12
"c:\Users\chris\source\repos\Cell\Cell\AssemblyInfo.cs", "C#", 5, 0, 0, 0, 0, 4, 2, 11
"c:\Users\chris\source\repos\Cell\Cell\Cell.csproj", "XML", 0, 0, 33, 0, 0, 0, 8, 41
"c:\Users\chris\source\repos\Cell\Cell\Common\Utilities.cs", "C#", 53, 0, 0, 0, 0, 0, 8, 61
"c:\Users\chris\source\repos\Cell\Cell\Data\Cells.cs", "C#", 105, 0, 0, 0, 0, 5, 16, 126
"c:\Users\chris\source\repos\Cell\Cell\Exceptions\PluginFunctionSyntaxTransformException.cs", "C#", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\chris\source\repos\Cell\Cell\Exceptions\ProjectLoadException.cs", "C#", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\chris\source\repos\Cell\Cell\Model\ApplicationSettings.cs", "C#", 60, 0, 0, 0, 0, 0, 11, 71
"c:\Users\chris\source\repos\Cell\Cell\Model\CellLocation.cs", "C#", 13, 0, 0, 0, 0, 0, 8, 21
"c:\Users\chris\source\repos\Cell\Cell\Model\CellModel.cs", "C#", 262, 0, 0, 0, 0, 2, 42, 306
"c:\Users\chris\source\repos\Cell\Cell\Model\CellModelExtensions.cs", "C#", 22, 0, 0, 0, 0, 0, 6, 28
"c:\Users\chris\source\repos\Cell\Cell\Model\CellModelFactory.cs", "C#", 34, 0, 0, 0, 0, 0, 4, 38
"c:\Users\chris\source\repos\Cell\Cell\Model\CellType.cs", "C#", 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\chris\source\repos\Cell\Cell\Model\ColorFor.cs", "C#", 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\chris\source\repos\Cell\Cell\Model\PluginFunction.cs", "C#", 131, 0, 0, 0, 0, 0, 27, 158
"c:\Users\chris\source\repos\Cell\Cell\Model\Plugin\PluginModel.cs", "C#", 23, 0, 0, 0, 0, 0, 7, 30
"c:\Users\chris\source\repos\Cell\Cell\Model\Plugin\TodoItem.cs", "C#", 59, 0, 0, 0, 0, 0, 11, 70
"c:\Users\chris\source\repos\Cell\Cell\Model\PropertyChangedBase.cs", "C#", 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\chris\source\repos\Cell\Cell\Persistence\CellLoader.cs", "C#", 59, 0, 0, 0, 0, 0, 10, 69
"c:\Users\chris\source\repos\Cell\Cell\Persistence\PersistenceManager.cs", "C#", 59, 0, 0, 0, 0, 0, 10, 69
"c:\Users\chris\source\repos\Cell\Cell\Persistence\PluginFunctionLoader.cs", "C#", 87, 0, 0, 0, 0, 0, 11, 98
"c:\Users\chris\source\repos\Cell\Cell\Persistence\UserCollectionLoader.cs", "C#", 114, 0, 0, 0, 0, 0, 20, 134
"c:\Users\chris\source\repos\Cell\Cell\Plugin\CellPopulateManager.cs", "C#", 178, 0, 0, 0, 0, 3, 24, 205
"c:\Users\chris\source\repos\Cell\Cell\Plugin\CellTriggerManager.cs", "C#", 28, 0, 0, 0, 0, 3, 5, 36
"c:\Users\chris\source\repos\Cell\Cell\Plugin\CellValueProvider.cs", "C#", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\chris\source\repos\Cell\Cell\Plugin\CompileResult.cs", "C#", 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\chris\source\repos\Cell\Cell\Plugin\DynamicCellPluginExecutor.cs", "C#", 42, 0, 0, 0, 0, 0, 5, 47
"c:\Users\chris\source\repos\Cell\Cell\Plugin\EditContext.cs", "C#", 10, 0, 0, 0, 0, 0, 5, 15
"c:\Users\chris\source\repos\Cell\Cell\Plugin\PluginContext.cs", "C#", 32, 0, 0, 0, 0, 0, 9, 41
"c:\Users\chris\source\repos\Cell\Cell\Plugin\RoslynCompiler.cs", "C#", 68, 0, 0, 0, 0, 0, 10, 78
"c:\Users\chris\source\repos\Cell\Cell\Plugin\SyntaxRewriters\CellReferenceSyntaxWalker.cs", "C#", 69, 0, 0, 0, 0, 0, 12, 81
"c:\Users\chris\source\repos\Cell\Cell\Plugin\SyntaxRewriters\CellReferenceToCodeSyntaxWalker.cs", "C#", 89, 0, 0, 0, 0, 0, 13, 102
"c:\Users\chris\source\repos\Cell\Cell\Plugin\SyntaxRewriters\CodeToCellReferenceSyntaxRewriter.cs", "C#", 48, 0, 0, 0, 0, 0, 8, 56
"c:\Users\chris\source\repos\Cell\Cell\Plugin\SyntaxRewriters\FindAndReplaceCollectionReferencesSyntaxWalker.cs", "C#", 32, 0, 0, 0, 0, 0, 7, 39
"c:\Users\chris\source\repos\Cell\Cell\Plugin\UserCollection.cs", "C#", 49, 0, 0, 0, 0, 1, 12, 62
"c:\Users\chris\source\repos\Cell\Cell\Plugin\UserList.cs", "C#", 57, 0, 0, 0, 0, 0, 14, 71
"c:\Users\chris\source\repos\Cell\Cell\T2.md", "Markdown", 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\ApplicationViewModel.cs", "C#", 182, 0, 0, 0, 0, 0, 26, 208
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\CellClipboard.cs", "C#", 83, 0, 0, 0, 0, 0, 10, 93
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\CellLayout.cs", "C#", 110, 0, 0, 0, 0, 0, 15, 125
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\Cells\CellViewModel.cs", "C#", 353, 0, 0, 0, 0, 19, 56, 428
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\Cells\CellViewModelFactory.cs", "C#", 30, 0, 0, 0, 0, 0, 3, 33
