"filename", "language", "Markdown", "XML", "C#", "comment", "blank", "total"
"c:\Users\chris\source\repos\Cell\Cell\App.xaml", "XML", 0, 19, 0, 0, 1, 20
"c:\Users\chris\source\repos\Cell\Cell\App.xaml.cs", "C#", 0, 0, 7, 3, 2, 12
"c:\Users\chris\source\repos\Cell\Cell\AssemblyInfo.cs", "C#", 0, 0, 5, 4, 2, 11
"c:\Users\chris\source\repos\Cell\Cell\Cell.csproj", "XML", 0, 33, 0, 0, 8, 41
"c:\Users\chris\source\repos\Cell\Cell\Common\Utilities.cs", "C#", 0, 0, 53, 0, 8, 61
"c:\Users\chris\source\repos\Cell\Cell\Data\Cells.cs", "C#", 0, 0, 105, 5, 16, 126
"c:\Users\chris\source\repos\Cell\Cell\Exceptions\PluginFunctionSyntaxTransformException.cs", "C#", 0, 0, 16, 0, 2, 18
"c:\Users\chris\source\repos\Cell\Cell\Exceptions\ProjectLoadException.cs", "C#", 0, 0, 16, 0, 2, 18
"c:\Users\chris\source\repos\Cell\Cell\Model\ApplicationSettings.cs", "C#", 0, 0, 60, 0, 11, 71
"c:\Users\chris\source\repos\Cell\Cell\Model\CellLocation.cs", "C#", 0, 0, 13, 0, 8, 21
"c:\Users\chris\source\repos\Cell\Cell\Model\CellModel.cs", "C#", 0, 0, 262, 2, 42, 306
"c:\Users\chris\source\repos\Cell\Cell\Model\CellModelExtensions.cs", "C#", 0, 0, 22, 0, 6, 28
"c:\Users\chris\source\repos\Cell\Cell\Model\CellModelFactory.cs", "C#", 0, 0, 34, 0, 4, 38
"c:\Users\chris\source\repos\Cell\Cell\Model\CellType.cs", "C#", 0, 0, 26, 0, 3, 29
"c:\Users\chris\source\repos\Cell\Cell\Model\ColorFor.cs", "C#", 0, 0, 12, 0, 2, 14
"c:\Users\chris\source\repos\Cell\Cell\Model\PluginFunction.cs", "C#", 0, 0, 131, 0, 27, 158
"c:\Users\chris\source\repos\Cell\Cell\Model\Plugin\PluginModel.cs", "C#", 0, 0, 23, 0, 7, 30
"c:\Users\chris\source\repos\Cell\Cell\Model\Plugin\TodoItem.cs", "C#", 0, 0, 59, 0, 11, 70
"c:\Users\chris\source\repos\Cell\Cell\Model\PropertyChangedBase.cs", "C#", 0, 0, 17, 0, 4, 21
"c:\Users\chris\source\repos\Cell\Cell\Persistence\CellLoader.cs", "C#", 0, 0, 59, 0, 10, 69
"c:\Users\chris\source\repos\Cell\Cell\Persistence\PersistenceManager.cs", "C#", 0, 0, 59, 0, 10, 69
"c:\Users\chris\source\repos\Cell\Cell\Persistence\PluginFunctionLoader.cs", "C#", 0, 0, 87, 0, 11, 98
"c:\Users\chris\source\repos\Cell\Cell\Persistence\UserCollectionLoader.cs", "C#", 0, 0, 114, 0, 20, 134
"c:\Users\chris\source\repos\Cell\Cell\Plugin\CellPopulateManager.cs", "C#", 0, 0, 178, 3, 24, 205
"c:\Users\chris\source\repos\Cell\Cell\Plugin\CellTriggerManager.cs", "C#", 0, 0, 28, 3, 5, 36
"c:\Users\chris\source\repos\Cell\Cell\Plugin\CellValueProvider.cs", "C#", 0, 0, 7, 0, 2, 9
"c:\Users\chris\source\repos\Cell\Cell\Plugin\CompileResult.cs", "C#", 0, 0, 8, 0, 3, 11
"c:\Users\chris\source\repos\Cell\Cell\Plugin\DynamicCellPluginExecutor.cs", "C#", 0, 0, 42, 0, 5, 47
"c:\Users\chris\source\repos\Cell\Cell\Plugin\EditContext.cs", "C#", 0, 0, 10, 0, 5, 15
"c:\Users\chris\source\repos\Cell\Cell\Plugin\PluginContext.cs", "C#", 0, 0, 32, 0, 9, 41
"c:\Users\chris\source\repos\Cell\Cell\Plugin\RoslynCompiler.cs", "C#", 0, 0, 68, 0, 10, 78
"c:\Users\chris\source\repos\Cell\Cell\Plugin\SyntaxRewriters\CellReferenceSyntaxWalker.cs", "C#", 0, 0, 69, 0, 12, 81
"c:\Users\chris\source\repos\Cell\Cell\Plugin\SyntaxRewriters\CellReferenceToCodeSyntaxWalker.cs", "C#", 0, 0, 89, 0, 13, 102
"c:\Users\chris\source\repos\Cell\Cell\Plugin\SyntaxRewriters\CodeToCellReferenceSyntaxRewriter.cs", "C#", 0, 0, 48, 0, 8, 56
"c:\Users\chris\source\repos\Cell\Cell\Plugin\SyntaxRewriters\FindAndReplaceCollectionReferencesSyntaxWalker.cs", "C#", 0, 0, 32, 0, 7, 39
"c:\Users\chris\source\repos\Cell\Cell\Plugin\UserCollection.cs", "C#", 0, 0, 49, 1, 12, 62
"c:\Users\chris\source\repos\Cell\Cell\Plugin\UserList.cs", "C#", 0, 0, 57, 0, 14, 71
"c:\Users\chris\source\repos\Cell\Cell\T2.md", "Markdown", 4, 0, 0, 0, 2, 6
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\ApplicationViewModel.cs", "C#", 0, 0, 182, 0, 26, 208
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\CellClipboard.cs", "C#", 0, 0, 83, 0, 10, 93
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\CellLayout.cs", "C#", 0, 0, 110, 0, 15, 125
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\Cells\CellViewModel.cs", "C#", 0, 0, 353, 19, 56, 428
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\Cells\CellViewModelFactory.cs", "C#", 0, 0, 30, 0, 3, 33
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\Cells\Types\ButtonCellViewModel.cs", "C#", 0, 0, 22, 0, 3, 25
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\Cells\Types\CheckboxCellViewModel.cs", "C#", 0, 0, 57, 0, 11, 68
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\Cells\Types\DropdownCellViewModel.cs", "C#", 0, 0, 39, 0, 5, 44
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\Cells\Types\GraphCellViewModel.cs", "C#", 0, 0, 84, 3, 13, 100
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\Cells\Types\LabelCellViewModel.cs", "C#", 0, 0, 7, 0, 1, 8
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\Cells\Types\ListCellViewModel.cs", "C#", 0, 0, 72, 0, 7, 79
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\Cells\Types\ProgressCellViewModel.cs", "C#", 0, 0, 32, 0, 5, 37
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\Cells\Types\Special\ColumnCellViewModel.cs", "C#", 0, 0, 102, 0, 16, 118
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\Cells\Types\Special\CornerCellViewModel.cs", "C#", 0, 0, 15, 0, 5, 20
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\Cells\Types\Special\RowCellViewModel.cs", "C#", 0, 0, 87, 0, 15, 102
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\Cells\Types\Special\SpecialCellViewModel.cs", "C#", 0, 0, 7, 0, 3, 10
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\Cells\Types\TextboxCellViewModel.cs", "C#", 0, 0, 30, 0, 3, 33
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\CodeCompletionWindowFactory.cs", "C#", 0, 0, 125, 3, 13, 141
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\CodeEditorViewModel.cs", "C#", 0, 0, 16, 0, 4, 20
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\RelayCommand.cs", "C#", 0, 0, 22, 0, 5, 27
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\SheetViewModel.cs", "C#", 0, 0, 249, 0, 33, 282
"c:\Users\chris\source\repos\Cell\Cell\ViewModel\SheetViewModelFactory.cs", "C#", 0, 0, 20, 0, 2, 22
"c:\Users\chris\source\repos\Cell\Cell\View\ApplicationView.xaml", "XML", 0, 119, 0, 0, 4, 123
"c:\Users\chris\source\repos\Cell\Cell\View\ApplicationView.xaml.cs", "C#", 0, 0, 151, 0, 17, 168
"c:\Users\chris\source\repos\Cell\Cell\View\CellTextEditBar.xaml", "XML", 0, 36, 0, 0, 1, 37
"c:\Users\chris\source\repos\Cell\Cell\View\CellTextEditBar.xaml.cs", "C#", 0, 0, 20, 3, 3, 26
"c:\Users\chris\source\repos\Cell\Cell\View\CodeEditor.xaml", "XML", 0, 119, 0, 0, 1, 120
"c:\Users\chris\source\repos\Cell\Cell\View\CodeEditor.xaml.cs", "C#", 0, 0, 228, 7, 37, 272
"c:\Users\chris\source\repos\Cell\Cell\View\Controls\BetterCheckBox.cs", "C#", 0, 0, 58, 0, 12, 70
"c:\Users\chris\source\repos\Cell\Cell\View\Controls\BetterComboBox.cs", "C#", 0, 0, 16, 0, 3, 19
"c:\Users\chris\source\repos\Cell\Cell\View\Controls\generic.xaml", "XML", 0, 47, 0, 0, 0, 47
"c:\Users\chris\source\repos\Cell\Cell\View\Converters\BrushToColorConverter.cs", "C#", 0, 0, 22, 0, 3, 25
"c:\Users\chris\source\repos\Cell\Cell\View\Converters\Converters.xaml", "XML", 0, 14, 0, 0, 0, 14
"c:\Users\chris\source\repos\Cell\Cell\View\Converters\EnumToStringConverter.cs", "C#", 0, 0, 24, 1, 3, 28
"c:\Users\chris\source\repos\Cell\Cell\View\Converters\RGBHexColorConverter.cs", "C#", 0, 0, 32, 0, 4, 36
"c:\Users\chris\source\repos\Cell\Cell\View\EditCellPanel.xaml", "XML", 0, 387, 0, 0, 1, 388
"c:\Users\chris\source\repos\Cell\Cell\View\EditCellPanel.xaml.cs", "C#", 0, 0, 279, 3, 38, 320
"c:\Users\chris\source\repos\Cell\Cell\View\PanAndZoomCanvas.xaml", "XML", 0, 11, 0, 0, 1, 12
"c:\Users\chris\source\repos\Cell\Cell\View\PanAndZoomCanvas.xaml.cs", "C#", 0, 0, 189, 4, 28, 221
"c:\Users\chris\source\repos\Cell\Cell\View\PluginContextCompletionData.cs", "C#", 0, 0, 28, 1, 7, 36
"c:\Users\chris\source\repos\Cell\Cell\View\SheetView.xaml", "XML", 0, 292, 0, 1, 5, 298
"c:\Users\chris\source\repos\Cell\Cell\View\SheetView.xaml.cs", "C#", 0, 0, 155, 3, 14, 172
"c:\Users\chris\source\repos\Cell\Cell\View\Skin\ColorPicker.xaml", "XML", 0, 332, 0, 10, 9, 351
"c:\Users\chris\source\repos\Cell\Cell\View\Skin\Controls.xaml", "XML", 0, 43, 0, 0, 3, 46
"c:\Users\chris\source\repos\Cell\Cell\View\Skin\Dark.xaml", "XML", 0, 8, 0, 0, 2, 10
"c:\Users\chris\source\repos\Cell\Cell\View\Skin\Light.xaml", "XML", 0, 8, 0, 0, 0, 8
"c:\Users\chris\source\repos\Cell\Cell\View\Skin\Styles.xaml", "XML", 0, 348, 0, 0, 14, 362
"c:\Users\chris\source\repos\Cell\Cell\View\TitleBarSheetNavigation.xaml", "XML", 0, 51, 0, 0, 1, 52
"c:\Users\chris\source\repos\Cell\Cell\View\TitleBarSheetNavigation.xaml.cs", "C#", 0, 0, 57, 3, 5, 65
"c:\Users\chris\source\repos\Cell\Cell\View\TypeSpecificEditCellPanel.xaml", "XML", 0, 48, 0, 0, 1, 49
"c:\Users\chris\source\repos\Cell\Cell\View\TypeSpecificEditCellPanel.xaml.cs", "C#", 0, 0, 16, 3, 3, 22
"c:\Users\chris\source\repos\Cell\Cell\View\ViewUtilities.cs", "C#", 0, 0, 21, 0, 3, 24
"Total", "-", 4, 1915, 4937, 85, 825, 7766
